ID_Unico	Nome	Idade	Posicao	Capacidade_Atual	Capacidade_Potencial	Real_Capacidade_Atual	Nacionalidade	Valor	Classificacao_Atual	Classificacao_Potencial
14211138	Tomás Moschion	24	V/M C	130	158	125	Argentina	7007457	64,3	74,92
19052745	Alan Ruschel	35	Z/LD E	105	118	103	Brasil	252144	57,82	57,82
19056919	Gilberto	35	S 	112	135	112	Brasil	890975	60,29	60,29
19149436	Jean Carlos	33	M/MA EC	108	128	111	Brasil	3756240	60,91	60,91
19167577	Bruno Lamas	30	M/MA C	117	133	117	Brasil,Itália	22608533	63,75	63,75
19171250	Zé Rafael	31	V/M/MA EC	137	137	133	Brasil	0	67,66	67,66
19171782	Daniel Borges	31	Z/LD D	113	122	110	Brasil	67774	59,25	59,25
19183234	Hugo Gomes	30	Z C	115	120	116	Brasil	20062074	64,7	64,7
19213408	Igor Silva	28	Z/LD/M D	120	138	116	Brasil	5448224	63,87	63,87
19237385	Reginaldo Lopes	32	Z/M/MA D	107	118	103	Brasil	385723	57,88	57,88
19245067	Zé Marcos	27	Z C	101	111	97	Brasil	10760	58,96	61,35
19250487	Erick Farias	28	MA DE	115	122	112	Brasil	12374990	60,48	60,48
19250588	Rodrigo Sam	29	Z/V C	103	114	90	Brasil	284400	62,92	63,83
19264778	Gabriel Taliari	27	MA/S C	105	118	104	Brasil	1574991	58,86	59
19270430	Mateus Claus	30	GR 	104	115	103	Brasil	3605244	58,56	60,22
19270809	Bruno Xavier	28	MA/S EC	112	115	111	Brasil	239221	63,24	63,24
19270810	Caíque Gonçalves	29	Z/V/M DC	111	134	110	Brasil	5984974	61,88	63,47
19286841	Lucas Ribamar	27	S 	113	125	116	Brasil	1193495	61,43	61,77
19287055	Luiz Fernando	28	MA DE	120	128	118	Brasil	22674989	61,65	61,65
19311535	Luan Silva	26	MA/S C	113	132	111	Brasil	26165994	62,24	65,07
19340939	Moraes	27	Z/LD E	119	130	114	Brasil	15752177	63,35	64,15
19354991	Danilo Boza	26	Z/LD DC	120	130	114	Brasil	14015834	63,07	65,98
19362907	Caetano	25	Z EC	124	130	121	Brasil	20362493	63,51	65,71
19366623	Luiz Mandaca	23	Z/V/M C	120	122	116	Brasil	41655589	61,87	63,39
49055608	Saïdou Sow	22	Z C	117	146	113	Guiné,França	19106333	63,56	76,63
86057940	Ronie Carrillo	28	MA/S C	115	118	113	Equador	24779991	59,71	59,71
2000005783	Rafael Rech	22	MA DE	100	123	100	Austrália,Itália,Brasil	86802	56,27	65,74
2000225544	Ronald	21	GR 	98	155	98	Brasil	6543996	57,17	77,61
2000225547	Da Rocha	20	Z E	95	112	90	Brasil	541393	52,64	60,63
2000226851	Yan Souto	23	Z C	110	126	108	Brasil	1210347	62,48	70,41
2000229887	Luiz Turatto	18	GR 	106	148	100	Brasil	27479994	57,33	74,6
2000296036	Gehring	19	V C	105	147	100	Brasil	437596	58,7	75,87

